IMDB,IMDB_norm,IMDB_norm_round,IMDB_user_vote_count
7.4,3.7,3.5,12227
7.8,3.9,4.0,5367
7.2,3.6,3.5,12129
7.5,3.75,4.0,13769
7.9,3.95,4.0,1320
7.7,3.85,4.0,2275
7.8,3.9,4.0,4160
7.5,3.75,4.0,1196
7.2,3.6,3.5,6246
7.6,3.8,4.0,10891
7.3,3.65,3.5,883
7.7,3.85,4.0,243
7.8,3.9,4.0,732
8.4,4.2,4.0,15982
7.4,3.7,3.5,5927
8.2,4.1,4.0,5269
7.5,3.75,4.0,4911
8.4,4.2,4.0,6605
8.2,4.1,4.0,14067
7.1,3.55,3.5,17237
7.3,3.65,3.5,5495
7.2,3.6,3.5,1062
7.2,3.6,3.5,3687
7.1,3.55,3.5,1488
7.1,3.55,3.5,950
7.4,3.7,3.5,696
7.4,3.7,3.5,17957
8.0,4.0,4.0,5630
7.1,3.55,3.5,11206
7.4,3.7,3.5,7367
7.8,3.9,4.0,1955
