Opening,Opening,Title
J A N U A R Y,6,Underworld: Blood Wars
J A N U A R Y,6,Arsenal
J A N U A R Y,6,Between Us
J A N U A R Y,13,Monster Trucks
J A N U A R Y,13,The Bye Bye Man
J A N U A R Y,13,Sleepless
J A N U A R Y,13,100 Streets
J A N U A R Y,13,The Book of Love
J A N U A R Y,20,Split
J A N U A R Y,20,xXx: Return of Xander Cage
J A N U A R Y,20,The Resurrection of Gavin Stone
J A N U A R Y,20,Trespass Against Us
J A N U A R Y,25,Sophie and the Rising Sun
J A N U A R Y,27,A Dog's Purpose
J A N U A R Y,27,Resident Evil: The Final Chapter
J A N U A R Y,27,Lost in Florence
J A N U A R Y,27,I Am Michael
J A N U A R Y,27,iBoy
F E B R U A R Y,3,Rings
F E B R U A R Y,3,The Space Between Us
F E B R U A R Y,3,Youth in Oregon
F E B R U A R Y,3,I Am Not Your Negro
F E B R U A R Y,3,Growing Up Smith
F E B R U A R Y,10,The Lego Batman Movie
F E B R U A R Y,10,Fifty Shades Darker
F E B R U A R Y,10,John Wick: Chapter 2
F E B R U A R Y,10,Bornless Ones
F E B R U A R Y,17,The Great Wall
F E B R U A R Y,17,A Cure for Wellness
F E B R U A R Y,17,Fist Fight
F E B R U A R Y,17,American Fable
F E B R U A R Y,17,XX
F E B R U A R Y,17,Lovesong
F E B R U A R Y,24,Get Out
F E B R U A R Y,24,Rock Dog
F E B R U A R Y,24,Collide
F E B R U A R Y,24,The Girl with All the Gifts
F E B R U A R Y,24,I Don't Feel at Home in This World Anymore
M A R C H,1,Contemporary Color
M A R C H,3,Logan
M A R C H,3,The Shack
M A R C H,3,Before I Fall
M A R C H,3,Table 19
M A R C H,3,The Last Word
M A R C H,3,Catfight
M A R C H,3,Donald Cried
M A R C H,10,Kong: Skull Island
M A R C H,10,Burning Sands
M A R C H,17,Beauty and the Beast
M A R C H,17,The Belko Experiment
M A R C H,17,Song to Song
M A R C H,17,Atomica
M A R C H,17,All Nighter
M A R C H,17,The Devil's Candy
M A R C H,24,Power Rangers
M A R C H,24,Life
M A R C H,24,CHiPs
M A R C H,24,Wilson
M A R C H,24,Victor
M A R C H,24,Car Dogs
M A R C H,24,Walk of Fame
M A R C H,31,Ghost in the Shell
M A R C H,31,The Boss Baby
M A R C H,31,The Zookeeper's Wife
M A R C H,31,The Blackcoat's Daughter
M A R C H,31,The Discovery
M A R C H,31,Carrie Pilby
A P R I L,7,The Case for Christ
A P R I L,7,Smurfs: The Lost Village
A P R I L,7,Going in Style
A P R I L,7,Colossal
A P R I L,7,Gifted
A P R I L,7,Aftermath
A P R I L,14,The Fate of the Furious
A P R I L,14,Spark
A P R I L,14,The Lost City of Z
A P R I L,14,My Entire High School Sinking Into the Sea
A P R I L,14,The Outcasts
A P R I L,21,Born in China
A P R I L,21,Unforgettable
A P R I L,21,The Promise
A P R I L,28,The Circle
A P R I L,28,How to Be a Latin Lover
A P R I L,28,Sleight
M A Y,5,Guardians of the Galaxy Vol. 2
M A Y,5,The Lovers
M A Y,5,3 Generations
M A Y,12,King Arthur: Legend of the Sword
M A Y,12,Snatched
M A Y,12,Lowriders
M A Y,12,The Wall
M A Y,12,Paris Can Wait
M A Y,19,Alien: Covenant
M A Y,19,Diary of a Wimpy Kid: The Long Haul
M A Y,19,"Everything, Everything"
M A Y,19,Wakefield
M A Y,25,Baywatch
M A Y,26,Pirates of the Caribbean: Dead Men Tell No Tales
M A Y,26,Buena Vista Social Club: Adios
M A Y,26,War Machine
J U N E,2,Wonder Woman
J U N E,2,Captain Underpants: The First Epic Movie
J U N E,2,Dean
J U N E,9,The Mummy
J U N E,9,It Comes at Night
J U N E,9,My Cousin Rachel
J U N E,9,Megan Leavey
J U N E,9,Beatriz at Dinner
J U N E,16,Cars 3
J U N E,16,Rough Night
J U N E,16,All Eyez on Me
J U N E,16,47 Meters Down
J U N E,16,The Book of Henry
J U N E,21,Transformers: The Last Knight
J U N E,23,The Beguiled
J U N E,23,The Big Sick
