,City Name,Cloudiness,Country Code,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,xining,44.0,cn,2018-06-18 14:23:12,89.0,36.62,101.77,50.28,2.35
1,progreso,0.0,mx,2018-06-18 14:00:00,66.0,-34.68,-56.22,51.8,10.29
2,severo-kurilsk,32.0,ru,2018-06-18 14:23:15,100.0,50.68,156.12,34.17,5.7
3,vila,0.0,vu,2018-06-18 13:50:00,39.0,45.18,8.4,84.2,6.93
4,provideniya,0.0,ru,2018-06-18 14:23:17,100.0,64.42,-173.23,38.13,5.93
5,mataura,92.0,pf,2018-06-18 14:23:20,89.0,-46.19,168.86,35.07,2.91
6,busselton,76.0,au,2018-06-18 14:23:21,100.0,-33.64,115.35,58.65,15.21
7,mikhaylovka,0.0,kz,2018-06-18 14:23:23,69.0,52.96,103.29,59.01,5.7
8,portales,1.0,us,2018-06-18 13:56:00,82.0,34.19,-103.33,68.0,10.29
9,cayenne,48.0,gf,2018-06-18 14:00:00,70.0,4.94,-52.33,86.0,4.7
10,carnarvon,12.0,au,2018-06-18 14:23:29,65.0,-30.97,22.13,54.42,14.54
11,adiake,75.0,ci,2018-06-18 14:00:00,74.0,5.29,-3.3,84.2,11.41
12,ziro,80.0,in,2018-06-18 14:23:33,98.0,27.54,93.82,64.41,1.45
13,turki,20.0,ru,2018-06-18 14:23:37,28.0,51.98,43.27,81.33,10.07
14,katsuura,92.0,jp,2018-06-18 14:23:39,88.0,33.93,134.5,69.27,2.13
15,albany,75.0,au,2018-06-18 13:54:00,57.0,42.65,-73.75,80.6,10.29
16,atuona,44.0,pf,2018-06-18 14:23:47,100.0,-9.8,-139.03,77.73,11.07
17,torbay,40.0,ca,2018-06-18 13:00:00,70.0,47.66,-52.73,46.4,9.17
18,kaitangata,92.0,nz,2018-06-18 14:23:52,90.0,-46.28,169.85,39.03,6.93
19,dikson,80.0,ru,2018-06-18 14:23:53,97.0,73.51,80.55,32.55,8.72
20,jamestown,12.0,sh,2018-06-18 14:20:19,72.0,-33.21,138.6,25.98,3.02
21,tasiilaq,40.0,gl,2018-06-18 13:50:00,97.0,65.61,-37.64,37.4,9.17
22,vaini,92.0,to,2018-06-18 14:23:57,99.0,15.34,74.49,68.91,6.6
23,yabelo,100.0,et,2018-06-18 14:23:58,67.0,4.89,38.09,71.43,4.14
24,geraldton,75.0,ca,2018-06-18 13:00:00,67.0,49.72,-86.95,62.6,8.05
25,leh,76.0,in,2018-06-18 14:24:01,100.0,34.16,77.58,31.65,1.68
26,rikitea,68.0,pf,2018-06-18 14:24:02,98.0,-23.12,-134.97,77.28,29.75
27,kalikino,12.0,ru,2018-06-18 14:24:03,49.0,52.95,39.83,78.9,4.92
28,dudinka,44.0,ru,2018-06-18 14:24:04,97.0,69.41,86.18,63.15,1.57
29,girona,20.0,es,2018-06-18 14:00:00,48.0,41.98,2.82,82.4,9.17
30,coihaique,90.0,cl,2018-06-18 14:00:00,80.0,-45.58,-72.07,41.0,8.05
31,hermanus,76.0,za,2018-06-18 14:24:08,100.0,-34.42,19.24,52.71,6.6
32,horta,20.0,pt,2018-06-18 14:00:00,42.0,41.43,2.16,84.2,14.99
33,kormilovka,75.0,ru,2018-06-18 13:30:00,39.0,55.0,74.1,64.4,8.95
34,hirado,92.0,jp,2018-06-18 14:24:22,96.0,33.32,129.49,72.42,9.73
35,bambanglipuro,0.0,id,2018-06-18 14:24:24,97.0,-7.95,110.28,71.88,2.91
36,puno,0.0,pe,2018-06-18 14:00:00,61.0,-15.84,-70.03,46.4,1.12
37,bluff,0.0,nz,2018-06-18 14:24:26,75.0,-23.58,149.07,40.65,6.71
38,mahebourg,75.0,mu,2018-06-18 14:00:00,83.0,-20.41,57.7,75.2,9.17
39,qaanaaq,76.0,gl,2018-06-18 14:24:29,98.0,77.48,-69.36,32.46,3.13
40,sovetskiy,0.0,ru,2018-06-18 14:24:30,28.0,56.76,48.47,77.37,12.19
41,ahipara,100.0,nz,2018-06-18 14:24:31,82.0,-35.17,173.16,60.18,17.0
42,kodiak,1.0,us,2018-06-18 13:53:00,66.0,39.95,-94.76,84.2,13.87
43,avarua,20.0,ck,2018-06-18 14:00:00,68.0,-21.21,-159.78,69.8,6.93
44,upernavik,92.0,gl,2018-06-18 14:24:36,89.0,72.79,-56.15,34.35,16.55
45,castro,92.0,cl,2018-06-18 14:24:38,100.0,-42.48,-73.76,48.66,3.47
46,bubaque,20.0,gw,2018-06-18 14:00:00,65.0,11.28,-15.83,82.4,5.82
47,longyearbyen,20.0,sj,2018-06-18 13:50:00,65.0,78.22,15.63,41.0,6.93
48,burgeo,100.0,ca,2018-06-18 14:24:44,100.0,47.61,-57.61,43.08,17.78
49,khatima,0.0,in,2018-06-18 14:24:45,65.0,28.92,79.97,86.1,8.5
50,ilulissat,40.0,gl,2018-06-18 13:50:00,86.0,69.22,-51.1,37.4,4.7
51,matamba,0.0,tz,2018-06-18 14:24:48,30.0,-5.95,22.27,87.63,5.14
52,kiruna,90.0,se,2018-06-18 13:50:00,87.0,67.86,20.23,53.6,4.7
53,khatanga,8.0,ru,2018-06-18 14:24:52,63.0,71.98,102.47,52.44,13.09
54,muros,0.0,es,2018-06-18 14:00:00,65.0,42.77,-9.06,77.0,14.99
55,rawson,64.0,ar,2018-06-18 14:24:54,57.0,-43.3,-65.11,54.42,2.91
56,hami,92.0,cn,2018-06-18 14:24:55,22.0,42.84,93.51,87.63,11.3
57,victoria,75.0,sc,2018-06-18 13:00:00,83.0,5.28,115.24,86.0,3.36
58,omboue,36.0,ga,2018-06-18 14:25:03,100.0,-1.57,9.26,76.29,8.72
59,ngunguru,64.0,nz,2018-06-18 14:25:04,95.0,-35.62,174.5,60.81,18.68
60,mwene-ditu,8.0,cd,2018-06-18 14:25:05,34.0,-7.01,23.45,85.56,4.36
61,kaka,24.0,tm,2018-06-18 14:25:07,28.0,37.35,59.62,80.88,3.13
62,bereda,20.0,so,2018-06-18 14:00:00,82.0,43.27,-7.54,68.0,13.87
63,bam,0.0,ir,2018-06-18 14:21:41,12.0,29.11,58.36,89.7,3.69
64,betanzos,20.0,es,2018-06-18 14:00:00,82.0,43.28,-8.21,77.0,13.87
65,hilo,20.0,us,2018-06-18 13:53:00,77.0,19.71,-155.08,69.8,5.82
66,bosconia,48.0,co,2018-06-18 14:25:13,68.0,9.97,-73.89,84.93,3.24
67,challapata,36.0,bo,2018-06-18 14:25:17,58.0,-18.9,-66.78,43.98,3.69
68,georgetown,75.0,sh,2018-06-18 13:00:00,88.0,6.8,-58.16,77.0,9.17
69,copacabana,75.0,bo,2018-06-18 14:00:00,64.0,6.35,-75.51,73.4,3.36
70,barrow,0.0,us,2018-06-18 14:23:12,49.0,-38.31,-60.23,56.76,15.21
71,nemuro,92.0,jp,2018-06-18 14:25:22,96.0,43.32,145.57,52.98,17.0
72,aliaga,75.0,tr,2018-06-18 13:00:00,83.0,15.5,120.85,80.6,4.7
73,bredasdorp,80.0,za,2018-06-18 14:00:00,42.0,-34.53,20.04,66.2,13.87
74,kangaatsiaq,8.0,gl,2018-06-18 14:25:27,91.0,68.31,-53.46,37.59,2.13
75,kieta,20.0,pg,2018-06-18 14:25:29,100.0,-6.22,155.63,77.1,4.59
76,constitucion,75.0,mx,2018-06-18 13:46:00,93.0,23.99,-104.67,62.6,5.82
77,kapaa,20.0,us,2018-06-18 13:56:00,94.0,22.08,-159.32,71.6,3.36
78,chokurdakh,20.0,ru,2018-06-18 14:25:35,86.0,70.62,147.9,31.2,11.52
79,nikolskoye,40.0,ru,2018-06-18 13:30:00,36.0,59.7,30.79,80.6,8.95
80,conde,80.0,br,2018-06-18 14:21:51,79.0,-11.81,-37.61,79.35,15.21
81,bethel,90.0,us,2018-06-18 13:53:00,93.0,60.79,-161.76,48.2,6.93
82,yellowknife,75.0,ca,2018-06-18 13:00:00,67.0,62.45,-114.38,60.8,6.93
83,channagiri,76.0,in,2018-06-18 14:25:41,71.0,14.03,75.92,74.31,11.52
84,owando,68.0,cg,2018-06-18 14:25:43,73.0,-0.49,15.91,82.32,3.69
85,luderitz,0.0,na,2018-06-18 14:25:44,79.0,-26.65,15.16,62.97,11.52
